author_genres,author_name,book_title,genre_1,genre_2,comb
mystery thrillers,douglas preston,relic,horror,thriller,mystery thrillers douglas preston relic horror thriller
literature fiction,susan hill,the woman in black,horror,fiction,literature fiction susan hill the woman in black horror fiction
mystery thrillers literature fiction,ira levin,the stepford wives,horror,fiction,mystery thrillers literature fiction ira levin the stepford wives horror fiction
horror science fiction fantasy,david seltzer,the omen,horror,fiction,horror science fiction fantasy david seltzer the omen horror fiction
horror mystery thrillers entertainment,scott b. smith,the ruins,horror,fiction,horror mystery thrillers entertainment scott b. smith the ruins horror fiction
horror biographies memoirs short stories,shirley jackson,we have always lived in the castle,horror,fiction,horror biographies memoirs short stories shirley jackson we have always lived in the castle horror fiction
young adult,sarah glenn marsh,reign of the fallen,fantasy,young adult,young adult sarah glenn marsh reign of the fallen fantasy young adult
science fiction fantasy literature fiction,nnedi okorafor,the night masquerade,science fiction,fiction,science fiction fantasy literature fiction nnedi okorafor the night masquerade science fiction fiction
fiction,anna  quinn,the night child,fiction,mystery,fiction anna  quinn the night child fiction mystery
young adult,dana  mele,people like us,young adult,mystery,young adult dana  mele people like us young adult mystery
fiction,eldonna edwards,this i know,historical,fiction,fiction eldonna edwards this i know historical fiction
young adult,rachel lynn solomon,you'll miss me when i'm gone,contemporary,young adult,young adult rachel lynn solomon you'll miss me when i'm gone contemporary young adult
romance,amanda bouchet,heart on fire,fantasy,romance,romance amanda bouchet heart on fire fantasy romance
fantasy,l.r.w. lee,lullaby,fantasy,new adult,fantasy l.r.w. lee lullaby fantasy new adult
young adult,justina ireland,dread nation,young adult,historical,young adult justina ireland dread nation young adult historical
historical fiction,suanne schafer,a different kind of fire,historical,fiction,historical fiction suanne schafer a different kind of fire historical fiction
young adult,lyndsay ely,gunslinger girl,young adult,science fiction,young adult lyndsay ely gunslinger girl young adult science fiction
fantasy,cass morris,from unseen fire,fantasy,historical,fantasy cass morris from unseen fire fantasy historical
young adult,dhonielle clayton,the belles,fantasy,young adult,young adult dhonielle clayton the belles fantasy young adult
young adult fantasy,bree barton,heart of thorns,fantasy,young adult,young adult fantasy bree barton heart of thorns fantasy young adult
fiction mystery,clarissa goenawan,rainbirds,mystery,fiction,fiction mystery clarissa goenawan rainbirds mystery fiction
fiction contemporary,kimmery martin,the queen of hearts,fiction,contemporary,fiction contemporary kimmery martin the queen of hearts fiction contemporary
fantasy young adult,adrienne young,sky in the deep,fantasy,young adult,fantasy young adult adrienne young sky in the deep fantasy young adult
young adult,kerri maniscalco,escaping from houdini,historical,young adult,young adult kerri maniscalco escaping from houdini historical young adult
science fiction fantasy,claire legrand,furyborn,fantasy,young adult,science fiction fantasy claire legrand furyborn fantasy young adult
young adult,laura sebastian,ash princess,fantasy,young adult,young adult laura sebastian ash princess fantasy young adult
biographies memoirs,neil strauss,the game  penetrating the secret society of pickup artists,nonfiction,psychology,biographies memoirs neil strauss the game  penetrating the secret society of pickup artists nonfiction psychology
religion spirituality,anton szandor lavey,the satanic bible,religion,nonfiction,religion spirituality anton szandor lavey the satanic bible religion nonfiction
nonfiction,karrine steffans,confessions of a video vixen,nonfiction,biography,nonfiction karrine steffans confessions of a video vixen nonfiction biography
mystery non fiction,nancy grace,objection!  how high priced defense attorneys  celebrity defendants  and a 24 7 media have hijacked our criminal justice system,nonfiction,crime,mystery non fiction nancy grace objection!  how high priced defense attorneys  celebrity defendants  and a 24 7 media have hijacked our criminal justice system nonfiction crime
health mind body,tyra banks,modelland,fantasy,young adult,health mind body tyra banks modelland fantasy young adult
religion spirituality,pat robertson,the autobiography of pat robertson  shout it from the housetops!,biography,nonfiction,religion spirituality pat robertson the autobiography of pat robertson  shout it from the housetops! biography nonfiction
young adult,lisa papademetriou,how to be a girly girl in just ten days,childrens,childrens,young adult lisa papademetriou how to be a girly girl in just ten days childrens childrens
nonfiction science,william a. dembski,intelligent design  the bridge between science theology,science,philosophy,nonfiction science william a. dembski intelligent design  the bridge between science theology science philosophy
nonfiction politics,michelle malkin,culture of corruption  obama and his team of tax cheats  crooks  and cronies,nonfiction,politics,nonfiction politics michelle malkin culture of corruption  obama and his team of tax cheats  crooks  and cronies nonfiction politics
biographies memoirs,russell brand,my booky wook,nonfiction,biography,biographies memoirs russell brand my booky wook nonfiction biography
biographies memoirs,jenna jameson,how to make love like a porn star  a cautionary tale,nonfiction,biography,biographies memoirs jenna jameson how to make love like a porn star  a cautionary tale nonfiction biography
politics health mind body,michael savage,the enemy within  saving america from the liberal assault on our churches  schools  and military,politics,nonfiction,politics health mind body michael savage the enemy within  saving america from the liberal assault on our churches  schools  and military politics nonfiction
nonfiction,bristol palin,not afraid of life  my journey so far,nonfiction,autobiography,nonfiction bristol palin not afraid of life  my journey so far nonfiction autobiography
religion spirituality,john bytheway,behind every good man  helping your husband take spiritual lead in the home,nonfiction,christianity,religion spirituality john bytheway behind every good man  helping your husband take spiritual lead in the home nonfiction christianity
nonfiction politics,s.e. cupp,losing our religion  the liberal media's attack on christianity,politics,nonfiction,nonfiction politics s.e. cupp losing our religion  the liberal media's attack on christianity politics nonfiction
psychology,joseph nicolosi,healing homosexuality  case stories of reparative therapy,psychology,see top shelves…,psychology joseph nicolosi healing homosexuality  case stories of reparative therapy psychology see top shelves…
historical fiction romance science fiction,dana bennett,geared to the present  jones whitman time traveler series,adventure,romance,historical fiction romance science fiction dana bennett geared to the present  jones whitman time traveler series adventure romance
romance,scott hildreth,undefeated,warfare,romance,romance scott hildreth undefeated warfare romance
contemporary,priscilla glenn,coming home,romance,new adult,contemporary priscilla glenn coming home romance new adult
romance,jettie woodruff,underestimated too,dark,erotica,romance jettie woodruff underestimated too dark erotica
mystery,morgan parker,hope,romance,romance,mystery morgan parker hope romance romance
romance,devon hartford,painless,romance,new adult,romance devon hartford painless romance new adult
fiction,shay savage,transcendence,romance,science fiction,fiction shay savage transcendence romance science fiction
romance,jake furie lapin,the spice of life,erotica,adult fiction,romance jake furie lapin the spice of life erotica adult fiction
literature fiction philosophy,توفيق الحكيم,أرني الله,short stories,philosophy,literature fiction philosophy توفيق الحكيم أرني الله short stories philosophy
geography social sciences non fiction,جمال حمدان,شخصية مصر  دراسة في عبقرية المكان   الوسيط,politics,history,geography social sciences non fiction جمال حمدان شخصية مصر  دراسة في عبقرية المكان   الوسيط politics history
historical fiction religion spirituality,محمد كامل حسين,قرية ظالمة,novels,philosophy,historical fiction religion spirituality محمد كامل حسين قرية ظالمة novels philosophy
literature fiction history,amin maalouf,samarkand,historical,fiction,literature fiction history amin maalouf samarkand historical fiction
literature fiction,مكاوي سعيد,تغريدة البجعة,novels,see top shelves…,literature fiction مكاوي سعيد تغريدة البجعة novels see top shelves…
religion spirituality,سلمان العودة,مع الله,religion,nonfiction,religion spirituality سلمان العودة مع الله religion nonfiction
literature fiction,جمال الغيطاني,الزيني بركات,novels,see top shelves…,literature fiction جمال الغيطاني الزيني بركات novels see top shelves…
literature fiction short stories,بهاء طاهر,خالتي صفية والدير,novels,fiction,literature fiction short stories بهاء طاهر خالتي صفية والدير novels fiction
politics literature fiction,صنع الله إبراهيم,ذات,novels,northern africa,politics literature fiction صنع الله إبراهيم ذات novels northern africa
humor literature fiction,محمد عفيفي,ترانيم في ظل تمارا,novels,fiction,humor literature fiction محمد عفيفي ترانيم في ظل تمارا novels fiction
thriller,منذر القباني,حكومة الظل,novels,fiction,thriller منذر القباني حكومة الظل novels fiction
history historical fiction,يوسف زيدان,النبطي,novels,see top shelves…,history historical fiction يوسف زيدان النبطي novels see top shelves…
literature fiction short stories,naguib mahfouz,ميرامار,fiction,novels,literature fiction short stories naguib mahfouz ميرامار fiction novels
literature fiction,مصطفى لطفي المنفلوطي,العبرات,literature,short stories,literature fiction مصطفى لطفي المنفلوطي العبرات literature short stories
history religion reference,ابن كثير,قصص الأنبياء,religion,religion,history religion reference ابن كثير قصص الأنبياء religion religion
politics non fiction,محمد حسنين هيكل,خريف الغضب,nonfiction,see top shelves…,politics non fiction محمد حسنين هيكل خريف الغضب nonfiction see top shelves…
humor politics,بلال فضل,السكان الأصليين لمصر,politics,nonfiction,humor politics بلال فضل السكان الأصليين لمصر politics nonfiction
philosophy history,أثير عبدالله النشمي,أحببتك أكثر مما ينبغي,novels,romance,philosophy history أثير عبدالله النشمي أحببتك أكثر مما ينبغي novels romance
religion spirituality politics,محمد الغزالي,خلق المسلم,religion,religion,religion spirituality politics محمد الغزالي خلق المسلم religion religion
politics religion spirituality,عبد الرحمن الكواكبي,طبائع الاستبداد ومصارع الاستعباد,politics,nonfiction,politics religion spirituality عبد الرحمن الكواكبي طبائع الاستبداد ومصارع الاستعباد politics nonfiction
social sciences economics biography,جلال أمين,ماذا علمتني الحياة؟,biography,see top shelves…,social sciences economics biography جلال أمين ماذا علمتني الحياة؟ biography see top shelves…
nonfiction,أحمد العسيلي,كتاب مالوش اسم,nonfiction,see top shelves…,nonfiction أحمد العسيلي كتاب مالوش اسم nonfiction see top shelves…
literature fiction,alaa al aswany,نيران صديقة,short stories,fiction,literature fiction alaa al aswany نيران صديقة short stories fiction
history poetry social sciences,الجاحظ,البخلاء,classics,literature,history poetry social sciences الجاحظ البخلاء classics literature
literature fiction romance,يوسف السباعي,السقا مات,novels,see top shelves…,literature fiction romance يوسف السباعي السقا مات novels see top shelves…
literature fiction biographies memoirs religion spirituality,أنيس منصور,في صالون العقاد كانت لنا أيام,biography,see top shelves…,literature fiction biographies memoirs religion spirituality أنيس منصور في صالون العقاد كانت لنا أيام biography see top shelves…
poetry,أبو الطيب المتنبي,ديوان المتنبي,poetry,see top shelves…,poetry أبو الطيب المتنبي ديوان المتنبي poetry see top shelves…
social sciences,صلاح الراشد,كيف تخطط لحياتك,self help,international dev...,social sciences صلاح الراشد كيف تخطط لحياتك self help international dev...
religion,طارق السويدان,الأندلس التاريخ المصور,history,religion,religion طارق السويدان الأندلس التاريخ المصور history religion
poetry historical fiction,ibrahim nasrallah,زمن الخيول البيضاء,novels,see top shelves…,poetry historical fiction ibrahim nasrallah زمن الخيول البيضاء novels see top shelves…
philosophy literature fiction,عبد الوهاب المسيري,رحلتي الفكرية  في البذور والجذور والثمر,biography,philosophy,philosophy literature fiction عبد الوهاب المسيري رحلتي الفكرية  في البذور والجذور والثمر biography philosophy
literature fiction poetry,ahlam mosteghanemi,الأسود يليق بك,novels,romance,literature fiction poetry ahlam mosteghanemi الأسود يليق بك novels romance
literature fiction short stories,رضوى عاشور,الطنطورية,novels,see top shelves…,literature fiction short stories رضوى عاشور الطنطورية novels see top shelves…
poetry israeli palestinian conflict,mahmoud darwish,كزهر اللوز أو أبعد,poetry,see top shelves…,poetry israeli palestinian conflict mahmoud darwish كزهر اللوز أو أبعد poetry see top shelves…
religion spirituality,يحيى بن شرف النووي,رياض الصالحين,religion,religion,religion spirituality يحيى بن شرف النووي رياض الصالحين religion religion
literature fiction short stories politics,tayeb salih,season of migration to the north,fiction,cultural,literature fiction short stories politics tayeb salih season of migration to the north fiction cultural
literature fiction,محمد المنسي قنديل,قمر على سمرقند,novels,see top shelves…,literature fiction محمد المنسي قنديل قمر على سمرقند novels see top shelves…
social sciences history religion,ibn khaldun,مقدمة ابن خلدون,nonfiction,sociology,social sciences history religion ibn khaldun مقدمة ابن خلدون nonfiction sociology
philosophy poetry spirituality,kahlil gibran,the prophet,poetry,philosophy,philosophy poetry spirituality kahlil gibran the prophet poetry philosophy
literature fiction religion spirituality poetry,مصطفى صادق الرافعي,وحي القلم,literature,see top shelves…,literature fiction religion spirituality poetry مصطفى صادق الرافعي وحي القلم literature see top shelves…
religion spirituality poetry,محمد بن إدريس الشافعي,ديوان الإمام الشافعي,poetry,religion,religion spirituality poetry محمد بن إدريس الشافعي ديوان الإمام الشافعي poetry religion
religion spirituality social sciences,سعد سعود الكريباني,كيف أصبحوا عظماء؟,self help,nonfiction,religion spirituality social sciences سعد سعود الكريباني كيف أصبحوا عظماء؟ self help nonfiction
poetry memoir,mourid barghouti,رأيت رام الله,nonfiction,see top shelves…,poetry memoir mourid barghouti رأيت رام الله nonfiction see top shelves…
islamism politics history,مصطفى السباعي,هكذا علمتني الحياة,biography,see top shelves…,islamism politics history مصطفى السباعي هكذا علمتني الحياة biography see top shelves…
poetry,فاروق جويدة,في عينيك عنواني,poetry,see top shelves…,poetry فاروق جويدة في عينيك عنواني poetry see top shelves…
science biographies memoirs,أحمد زويل,عصر العلم,biography,science,science biographies memoirs أحمد زويل عصر العلم biography science
literature fiction arts photography,أحمد مراد,الفيل الأزرق,novels,fiction,literature fiction arts photography أحمد مراد الفيل الأزرق novels fiction
poetry,أمل دنقل,أمل دنقل  الأعمال الكاملة,poetry,see top shelves…,poetry أمل دنقل أمل دنقل  الأعمال الكاملة poetry see top shelves…
fiction,أحمد جمال الدين رمضان,العصبي,short stories,see top shelves…,fiction أحمد جمال الدين رمضان العصبي short stories see top shelves…
poetry religion history,عباس محمود العقاد,عبقرية محمد,religion,biography,poetry religion history عباس محمود العقاد عبقرية محمد religion biography
literature biography,taha hussein,الأيام,biography,see top shelves…,literature biography taha hussein الأيام biography see top shelves…
religion non fiction islamism,sayed qutb,في ظلال القرآن,religion,religion,religion non fiction islamism sayed qutb في ظلال القرآن religion religion
religion spirituality non fiction,خالد محمد خالد,رجال حول الرسول,religion,history,religion spirituality non fiction خالد محمد خالد رجال حول الرسول religion history
romance,jessica scott,back to you,romance,war,romance jessica scott back to you romance war
fiction,lily  white,her master's courtesan,dark,erotica,fiction lily  white her master's courtesan dark erotica
romance,dawn  robertson,uncomplicated,adult fiction,new adult,romance dawn  robertson uncomplicated adult fiction new adult
literature fiction children s books,dodie smith,i capture the castle,fiction,classics,literature fiction children s books dodie smith i capture the castle fiction classics
nonfiction,andrew morton,diana  her true story in her own words,biography,nonfiction,nonfiction andrew morton diana  her true story in her own words biography nonfiction
poetry literature fiction,marge piercy,woman on the edge of time,fiction,science fiction,poetry literature fiction marge piercy woman on the edge of time fiction science fiction
literature fiction,lorna landvik,angry housewives eating bon bons,fiction,womens fiction,literature fiction lorna landvik angry housewives eating bon bons fiction womens fiction
christian philosophy religion,augustine of hippo,city of god,philosophy,religion,christian philosophy religion augustine of hippo city of god philosophy religion
humor,christian lander,stuff white people like  a definitive guide to the unique taste of millions,humor,nonfiction,humor christian lander stuff white people like  a definitive guide to the unique taste of millions humor nonfiction
crime,lisa lutz,the spellman files,mystery,fiction,crime lisa lutz the spellman files mystery fiction
science fiction fantasy mystery thrillers,arkady strugatsky,roadside picnic,science fiction,fiction,science fiction fantasy mystery thrillers arkady strugatsky roadside picnic science fiction fiction
science fiction,clifford d. simak,way station,science fiction,fiction,science fiction clifford d. simak way station science fiction fiction
science fiction fantasy literature fiction,edgar rice burroughs,a princess of mars,science fiction,fantasy,science fiction fantasy literature fiction edgar rice burroughs a princess of mars science fiction fantasy
politics literature fiction women gender studies,mary wollstonecraft,a vindication of the rights of woman,feminism,nonfiction,politics literature fiction women gender studies mary wollstonecraft a vindication of the rights of woman feminism nonfiction
politics philosophy poetry,mao zedong,quotations from chairman mao tse tung,politics,history,politics philosophy poetry mao zedong quotations from chairman mao tse tung politics history
economics,john maynard keynes,the general theory of employment  interest  and money,economics,nonfiction,economics john maynard keynes the general theory of employment  interest  and money economics nonfiction
psychology psychoanalysis neurology,sigmund freud,the ego and the id,psychology,philosophy,psychology psychoanalysis neurology sigmund freud the ego and the id psychology philosophy
nonfiction women gender studies,betty friedan,the feminine mystique,feminism,nonfiction,nonfiction women gender studies betty friedan the feminine mystique feminism nonfiction
philosophy,lao tzu,tao te ching,philosophy,nonfiction,philosophy lao tzu tao te ching philosophy nonfiction
philosophy science,rené descartes,selected philosophical writings,philosophy,nonfiction,philosophy science rené descartes selected philosophical writings philosophy nonfiction
philosophy history,thomas hobbes,leviathan,philosophy,politics,philosophy history thomas hobbes leviathan philosophy politics
science,galileo galilei,dialogue concerning the two chief world systems,science,nonfiction,science galileo galilei dialogue concerning the two chief world systems science nonfiction
literature fiction nonfiction politics,simone de beauvoir,the second sex,feminism,nonfiction,literature fiction nonfiction politics simone de beauvoir the second sex feminism nonfiction
poetry greek mythology,virgil,the aeneid,classics,poetry,poetry greek mythology virgil the aeneid classics poetry
mathematics,euclid,euclid's elements,science,science,mathematics euclid euclid's elements science science
catholicism philosophy religion,thomas aquinas,summa theologica  5 vols,philosophy,religion,catholicism philosophy religion thomas aquinas summa theologica  5 vols philosophy religion
philosophy social sciences politics,john stuart mill,on liberty,philosophy,politics,philosophy social sciences politics john stuart mill on liberty philosophy politics
social sciences politics,alexis de tocqueville,democracy in america,history,politics,social sciences politics alexis de tocqueville democracy in america history politics
mathematics science,nicolaus copernicus,on the revolutions of heavenly spheres,science,classics,mathematics science nicolaus copernicus on the revolutions of heavenly spheres science classics
philosophy science,aristotle,the rhetoric & the poetics of aristotle,philosophy,classics,philosophy science aristotle the rhetoric & the poetics of aristotle philosophy classics
philosophy politics,john locke,two treatises of government,philosophy,politics,philosophy politics john locke two treatises of government philosophy politics
nonfiction politics,alexander hamilton,the federalist papers,history,politics,nonfiction politics alexander hamilton the federalist papers history politics
literature fiction,upton sinclair,the jungle,classics,fiction,literature fiction upton sinclair the jungle classics fiction
philosophy politics,jean-jacques rousseau,the social contract,philosophy,politics,philosophy politics jean-jacques rousseau the social contract philosophy politics
philosophy,confucius,the analects,philosophy,classics,philosophy confucius the analects philosophy classics
philosophy politics,immanuel kant,critique of pure reason,philosophy,nonfiction,philosophy politics immanuel kant critique of pure reason philosophy nonfiction
politics religion,thomas paine,common sense  the rights of man and other essential writings,philosophy,history,politics religion thomas paine common sense  the rights of man and other essential writings philosophy history
science physics,isaac newton,the principia  mathematical principles of natural philosophy,science,philosophy,science physics isaac newton the principia  mathematical principles of natural philosophy science philosophy
science philosophy,albert einstein,relativity  the special and the general theory,science,science,science philosophy albert einstein relativity  the special and the general theory science science
economics philosophy ethics,adam smith,the wealth of nations,economics,nonfiction,economics philosophy ethics adam smith the wealth of nations economics nonfiction
nonfiction religion spirituality,martin luther,martin luther's ninety five theses,religion,history,nonfiction religion spirituality martin luther martin luther's ninety five theses religion history
military philosophy politics,sun tzu,the art of war,nonfiction,classics,military philosophy politics sun tzu the art of war nonfiction classics
non fiction,founding fathers,declaration of independence  constitution of the united states of america  bill of rights and constitutional amendments (including images of original,history,nonfiction,non fiction founding fathers declaration of independence  constitution of the united states of america  bill of rights and constitutional amendments (including images of original history nonfiction
philosophy metaphysics,plato,the republic,philosophy,classics,philosophy metaphysics plato the republic philosophy classics
young adult,james ramos,that girl  darcy  a pride and prejudice story,romance,young adult,young adult james ramos that girl  darcy  a pride and prejudice story romance young adult
literature fiction,marian keyes,sushi for beginners,womens fiction,fiction,literature fiction marian keyes sushi for beginners womens fiction fiction
literature fiction,plum sykes,bergdorf blondes,womens fiction,fiction,literature fiction plum sykes bergdorf blondes womens fiction fiction
romance science fiction fantasy,shanna swendson,enchanted  inc.,fantasy,womens fiction,romance science fiction fantasy shanna swendson enchanted  inc. fantasy womens fiction
literature fiction,hester browne,the little lady agency,womens fiction,romance,literature fiction hester browne the little lady agency womens fiction romance
literature fiction,jane green,mr. maybe,womens fiction,fiction,literature fiction jane green mr. maybe womens fiction fiction
literature fiction,gemma burgess,a girl like you,womens fiction,romance,literature fiction gemma burgess a girl like you womens fiction romance
fantasy,scott eder,knight of flame,fantasy,see top shelves…,fantasy scott eder knight of flame fantasy see top shelves…
fiction fantasy,dawn cook,the decoy princess,fantasy,young adult,fiction fantasy dawn cook the decoy princess fantasy young adult
horror literature fiction,vivian vande velde,dragon's bait,fantasy,fantasy,horror literature fiction vivian vande velde dragon's bait fantasy fantasy
science fiction fantasy,kate constable,the singer of all songs,fantasy,young adult,science fiction fantasy kate constable the singer of all songs fantasy young adult
science fiction fantasy romance,sharon shinn,troubled waters,fantasy,romance,science fiction fantasy romance sharon shinn troubled waters fantasy romance
young adult science fiction fantasy,victoria hanley,the seer and the sword,fantasy,young adult,young adult science fiction fantasy victoria hanley the seer and the sword fantasy young adult
time travel,morgan o'neill,love  eternally,science fiction,romance,time travel morgan o'neill love  eternally science fiction romance
literature fiction short stories,félix j. palma,the map of time,fantasy,science fiction,literature fiction short stories félix j. palma the map of time fantasy science fiction
young adult,rysa walker,timebound,science fiction,young adult,young adult rysa walker timebound science fiction young adult
science fiction fantasy,stephen baxter,the time ships,science fiction,science fiction,science fiction fantasy stephen baxter the time ships science fiction science fiction
literature fiction humor and comedy,dinah lee küng,a visit from voltaire,historical,fiction,literature fiction humor and comedy dinah lee küng a visit from voltaire historical fiction
science fiction fantasy,harry turtledove,the guns of the south,science fiction,science fiction,science fiction fantasy harry turtledove the guns of the south science fiction science fiction
literature fiction historical fiction,barbara erskine,lady of hay,historical,historical,literature fiction historical fiction barbara erskine lady of hay historical historical
science fiction fantasy historical fiction,poul anderson,time patrol,science fiction,science fiction,science fiction fantasy historical fiction poul anderson time patrol science fiction science fiction
science fiction fantasy,l. sprague de camp,lest darkness fall,science fiction,science fiction,science fiction fantasy l. sprague de camp lest darkness fall science fiction science fiction
literature fiction science,alan lightman,einstein's dreams,fiction,short stories,literature fiction science alan lightman einstein's dreams fiction short stories
fiction,jodi taylor,just one damned thing after another,science fiction,science fiction,fiction jodi taylor just one damned thing after another science fiction science fiction
science fiction,mike chen,here and now and then,science fiction,science fiction,science fiction mike chen here and now and then science fiction science fiction
fantasy science fiction,stephen r. lawhead,the fatal tree,fantasy,fiction,fantasy science fiction stephen r. lawhead the fatal tree fantasy fiction
science fiction fantasy mystery thrillers,harlan ellison,the city on the edge of forever  the original teleplay,science fiction,media tie in,science fiction fantasy mystery thrillers harlan ellison the city on the edge of forever  the original teleplay science fiction media tie in
science fiction fantasy,kage baker,in the garden of iden,science fiction,science fiction,science fiction fantasy kage baker in the garden of iden science fiction science fiction
science fiction fantasy,s.m. stirling,island in the sea of time,science fiction,science fiction,science fiction fantasy s.m. stirling island in the sea of time science fiction science fiction
science fiction,gregory benford,timescape,science fiction,science fiction,science fiction gregory benford timescape science fiction science fiction
science fiction fantasy,eric flint,1632,science fiction,science fiction,science fiction fantasy eric flint 1632 science fiction science fiction
chick lit young adult,kerstin gier,ruby red,fantasy,young adult,chick lit young adult kerstin gier ruby red fantasy young adult
children s books,rebecca stead,when you reach me,young adult,fiction,children s books rebecca stead when you reach me young adult fiction
science fiction fantasy mystery thrillers,jack finney,from time to time,science fiction,fiction,science fiction fantasy mystery thrillers jack finney from time to time science fiction fiction
science fiction fantasy,claire north,the first fifteen lives of harry august,science fiction,fiction,science fiction fantasy claire north the first fifteen lives of harry august science fiction fiction
mystery thriller,marlys millhiser,the mirror,science fiction,fiction,mystery thriller marlys millhiser the mirror science fiction fiction
science fiction fantasy horror mystery thrillers,ken grimwood,replay,fiction,science fiction,science fiction fantasy horror mystery thrillers ken grimwood replay fiction science fiction
literature fiction historical fiction,alexandra ripley,scarlett,historical,fiction,literature fiction historical fiction alexandra ripley scarlett historical fiction
fantasy,h.d. gordon,half black soul,paranormal,fantasy,fantasy h.d. gordon half black soul paranormal fantasy
fiction,harry james fox,the false prophet,fantasy,christian,fiction harry james fox the false prophet fantasy christian
thriller,anthony hulse,comrades of deceit,history,war,thriller anthony hulse comrades of deceit history war
memoir,aimee cabo nikolov,love is the answer god is the cure,contemporary,nonfiction,memoir aimee cabo nikolov love is the answer god is the cure contemporary nonfiction
young adult,kasonndra leigh,when copper suns fall,paranormal,fantasy,young adult kasonndra leigh when copper suns fall paranormal fantasy
romance,avery aster,love  lex,new adult,romance,romance avery aster love  lex new adult romance
non fiction,benjamin kahriman,think  trade  and grow rich!  a powerful beginner's guide to building passive income through momentum swing trading and stock market investing,economics,currency,non fiction benjamin kahriman think  trade  and grow rich!  a powerful beginner's guide to building passive income through momentum swing trading and stock market investing economics currency
young adult,penelope king,fire with fire,paranormal,fantasy,young adult penelope king fire with fire paranormal fantasy
mystery,anna celeste burke,a dead husband,mystery,mystery,mystery anna celeste burke a dead husband mystery mystery
romance fiction,melissa foster,chasing amanda,mystery,fiction,romance fiction melissa foster chasing amanda mystery fiction
literature fiction,nancy straight,meeting destiny,fantasy,romance,literature fiction nancy straight meeting destiny fantasy romance
fantasy,j.d.  brown,dark heirloom,paranormal,fantasy,fantasy j.d.  brown dark heirloom paranormal fantasy
young adult,veronica blade,a bite's tale (a furry fable),fantasy,young adult,young adult veronica blade a bite's tale (a furry fable) fantasy young adult
contemporary,tammy robinson,charlie and pearl,romance,womens fiction,contemporary tammy robinson charlie and pearl romance womens fiction
psychological thrillers,andrew e. kaufman,the lion  the lamb  the hunted,fiction,suspense,psychological thrillers andrew e. kaufman the lion  the lamb  the hunted fiction suspense
young adult,deborah mcclatchey,forever in my heart,historical,see top shelves…,young adult deborah mcclatchey forever in my heart historical see top shelves…
young adult,emma mills,witchblood,paranormal,fantasy,young adult emma mills witchblood paranormal fantasy
science fiction fantasy,claire farrell,thirst,paranormal,fantasy,science fiction fantasy claire farrell thirst paranormal fantasy
romance,alannah lynne,saving me,romance,romance,romance alannah lynne saving me romance romance
young adult,megan curd,bridger,young adult,fantasy,young adult megan curd bridger young adult fantasy
young adult,emily wibberley,sacrificed,fantasy,young adult,young adult emily wibberley sacrificed fantasy young adult
contemporary romance,sarah brocious,more than scars,romance,contemporary,contemporary romance sarah brocious more than scars romance contemporary
mystery thrillers,nicole hill,legacy forgotten,paranormal,fantasy,mystery thrillers nicole hill legacy forgotten paranormal fantasy
thriller,thom  stark,may day,thriller,science fiction,thriller thom  stark may day thriller science fiction
romance gay and lesbian fiction,b.q. hanson,the enlightenment of alexander,lgbt,romance,romance gay and lesbian fiction b.q. hanson the enlightenment of alexander lgbt romance
science fiction,sara furlong burr,enigma black,science fiction,romance,science fiction sara furlong burr enigma black science fiction romance
paranormal romance,dianna hardy,the witching pen,fantasy,romance,paranormal romance dianna hardy the witching pen fantasy romance
horror,j.l. bryan,jenny pox,fantasy,young adult,horror j.l. bryan jenny pox fantasy young adult
romance,a.m. hargrove,survival,fantasy,romance,romance a.m. hargrove survival fantasy romance
fiction,chris   rose,wood  talc and mr. j,fiction,music,fiction chris   rose wood  talc and mr. j fiction music
young adult romance,shannon dermott,beg for mercy,fantasy,young adult,young adult romance shannon dermott beg for mercy fantasy young adult
fantasy,heide goody,clovenhoof,fantasy,fiction,fantasy heide goody clovenhoof fantasy fiction
romance,marissa farrar,alone,paranormal,fantasy,romance marissa farrar alone paranormal fantasy
young adult science fiction,karen luellen,winter's awakening  the metahumans emerge,young adult,science fiction,young adult science fiction karen luellen winter's awakening  the metahumans emerge young adult science fiction
romance,karice bolton,awakening,fantasy,romance,romance karice bolton awakening fantasy romance
romance,amelia james,tell me you want me,romance,new adult,romance amelia james tell me you want me romance new adult
contemporary,john marrs,the wronged sons,mystery,thriller,contemporary john marrs the wronged sons mystery thriller
fantasy,bella forrest,a shade of vampire,paranormal,fantasy,fantasy bella forrest a shade of vampire paranormal fantasy
thriller,shalini boland,hidden,paranormal,young adult,thriller shalini boland hidden paranormal young adult
fantasy,paige w. pendleton,the keeper and the rune stone,fantasy,young adult,fantasy paige w. pendleton the keeper and the rune stone fantasy young adult
literature fiction,p.h. dillard,isaac,paranormal,paranormal,literature fiction p.h. dillard isaac paranormal paranormal
literature fiction,abigail gibbs,dinner with a vampire,paranormal,fantasy,literature fiction abigail gibbs dinner with a vampire paranormal fantasy
contemporary,skyla madi,your guardian angel,young adult,paranormal,contemporary skyla madi your guardian angel young adult paranormal
romance,joann i. martin sowles,laney,paranormal,fantasy,romance joann i. martin sowles laney paranormal fantasy
fantasy horror,d. aswini,saffron   the blood swan,fantasy,paranormal,fantasy horror d. aswini saffron   the blood swan fantasy paranormal
